Inst_salud;Domicilio;Otro;Sin_informacion;total;Ano;id_regimen_Regimen;id_area_Area_Regimen
1088;3;0;0;1091;2010;con;19
793;0;0;0;793;2010;con;11
816;1;0;0;817;2010;con;1
2508;1;0;0;2509;2010;con;12
259;0;0;0;259;2010;con;10
3335;2;2;0;3339;2010;con;13
4673;4;2;0;4679;2010;con;5
11;0;0;0;11;2010;con;18
181;0;0;0;181;2010;con;16
69617;69;26;0;69712;2010;con;6
4548;4;0;0;4552;2011;con;21
1558;2;0;0;1560;2011;con;4
733;1;0;0;734;2011;con;15
3536;3;1;0;3540;2011;con;14
2766;5;0;2;2773;2011;con;22
1885;2;0;0;1887;2011;con;20
6388;8;2;0;6398;2011;con;3
10304;9;1;0;10314;2011;con;9
3473;0;1;0;3474;2011;con;8
7678;4;2;0;7684;2011;con;7
10919;5;5;0;10929;2011;con;17
1399;1;1;0;1401;2011;con;2
1168;5;0;0;1173;2011;con;19
754;0;1;0;755;2011;con;11
919;0;1;0;920;2011;con;1
2502;3;0;0;2505;2011;con;12
207;0;0;0;207;2011;con;10
3380;4;3;0;3387;2011;con;13
4550;6;3;0;4559;2011;con;5
2;0;0;0;2;2011;con;18
63;0;0;0;63;2011;con;16
68732;62;21;2;68817;2011;con;6
4885;3;0;0;4888;2012;con;21
1726;2;0;0;1728;2012;con;4
800;1;0;0;801;2012;con;15
3440;7;1;0;3448;2012;con;14
3052;3;3;0;3058;2012;con;22
1788;1;1;0;1790;2012;con;20
6578;5;2;0;6585;2012;con;3
10566;8;2;0;10576;2012;con;9
3528;6;1;0;3535;2012;con;8
7477;4;1;0;7482;2012;con;7
10988;6;1;0;10995;2012;con;17
1304;0;2;0;1306;2012;con;2
1048;3;0;0;1051;2012;con;19
787;0;0;0;787;2012;con;11
785;0;0;0;785;2012;con;1
2451;3;1;0;2455;2012;con;12
257;0;0;0;257;2012;con;10
3415;5;1;0;3421;2012;con;13
4887;5;0;0;4892;2012;con;5
2;0;0;0;2;2012;con;18
12;0;0;0;12;2012;con;16
69776;62;16;0;69854;2012;con;6
4777;3;1;0;4781;2013;con;21
1588;1;0;0;1589;2013;con;4
858;3;0;0;861;2013;con;15
3430;4;2;0;3436;2013;con;14
2808;2;0;0;2810;2013;con;22
1828;2;0;0;1830;2013;con;20
6391;5;3;0;6399;2013;con;3
10360;16;1;0;10377;2013;con;9
3495;4;3;0;3502;2013;con;8
7398;5;0;0;7403;2013;con;7
11196;5;3;0;11204;2013;con;17
1319;0;0;0;1319;2013;con;2
1162;3;0;0;1165;2013;con;19
740;1;0;0;741;2013;con;11
962;0;0;0;962;2013;con;1
2425;3;0;0;2428;2013;con;12
250;0;0;0;250;2013;con;10
3384;1;0;0;3385;2013;con;13
5003;7;0;0;5010;2013;con;5
3;0;0;0;3;2013;con;18
14;1;1;0;16;2013;con;16
69391;66;14;0;69471;2013;con;6
4910;4;0;0;4914;2014;con;21
1640;8;0;0;1648;2014;con;4
920;4;0;0;924;2014;con;15
3514;4;2;0;3520;2014;con;14
2838;6;1;0;2845;2014;con;22
1805;3;1;0;1809;2014;con;20
6364;7;3;0;6374;2014;con;3
10534;12;3;0;10549;2014;con;9
3613;3;1;0;3617;2014;con;8
8012;8;1;0;8021;2014;con;7
11551;10;3;0;11564;2014;con;17
1331;1;1;0;1333;2014;con;2
1295;9;0;0;1304;2014;con;19
774;2;0;0;776;2014;con;11
923;3;0;0;926;2014;con;1
2564;5;1;0;2570;2014;con;12
271;2;0;0;273;2014;con;10
3435;3;0;0;3438;2014;con;13
5445;2;3;0;5450;2014;con;5
10;0;0;0;10;2014;con;18
40;0;0;0;40;2014;con;16
71789;96;20;0;71905;2014;con;6
5288;9;2;0;5299;2015;con;21
1634;7;0;0;1641;2015;con;4
917;2;0;0;919;2015;con;15
3768;0;2;0;3770;2015;con;14
3108;4;1;0;3113;2015;con;22
1805;1;0;0;1806;2015;con;20
7136;4;6;0;7146;2015;con;3
11077;12;3;0;11092;2015;con;9
3490;5;1;0;3496;2015;con;8
7642;11;1;0;7654;2015;con;7
11896;12;1;0;11909;2015;con;17
1298;5;1;0;1304;2015;con;2
1147;6;0;0;1153;2015;con;19
766;0;0;0;766;2015;con;11
894;0;0;0;894;2015;con;1
2552;5;0;0;2557;2015;con;12
213;1;0;0;214;2015;con;10
3505;4;1;0;3510;2015;con;13
5936;3;3;0;5942;2015;con;5
9;0;0;0;9;2015;con;18
225;1;0;0;226;2015;con;16
74306;92;22;0;74420;2015;con;6
5130;11;0;0;5141;2016;con;21
1774;11;0;0;1785;2016;con;4
812;3;0;0;815;2016;con;15
3743;6;0;0;3749;2016;con;14
3389;6;0;0;3395;2016;con;22
1773;0;0;0;1773;2016;con;20
7077;8;4;0;7089;2016;con;3
10812;12;3;0;10827;2016;con;9
3547;0;4;0;3551;2016;con;8
7427;10;2;0;7439;2016;con;7
11240;20;6;0;11266;2016;con;17
1317;6;1;0;1324;2016;con;2
1119;12;0;0;1131;2016;con;19
736;2;0;0;738;2016;con;11
969;0;1;0;970;2016;con;1
2425;6;3;0;2434;2016;con;12
176;1;0;0;177;2016;con;10
3741;2;1;0;3744;2016;con;13
5956;12;1;0;5969;2016;con;5
8;0;1;0;9;2016;con;18
390;0;1;0;391;2016;con;16
73561;128;28;0;73717;2016;con;6
4926;7;1;0;4934;2017;con;21
1728;4;0;0;1732;2017;con;4
997;2;0;0;999;2017;con;15
3393;1;0;0;3394;2017;con;14
3117;3;2;0;3122;2017;con;22
1606;3;1;0;1610;2017;con;20
6627;9;4;0;6640;2017;con;3
10042;15;4;0;10061;2017;con;9
3176;6;2;0;3184;2017;con;8
6872;8;1;0;6881;2017;con;7
11092;13;3;0;11108;2017;con;17
1249;0;0;0;1249;2017;con;2
1047;5;0;0;1052;2017;con;19
702;1;0;0;703;2017;con;11
810;0;1;0;811;2017;con;1
