cesarea;espontaneo;instrumentado;sin_informacion;total ;ano;id_regimen_regimen;id_area_area_regimen
1110;1939;76;0;3125;2014;sub;9
1028;1781;64;0;2873;2015;sub;9
970;1463;48;0;2481;2016;sub;9
953;1531;50;0;2534;2017;sub;9
820;1297;25;0;2142;2018;sub;9
4061;6129;513;61;10764;2008;con;9
4140;5849;446;76;10511;2009;con;9
4202;5786;489;6;10483;2010;con;9
4383;5522;406;3;10314;2011;con;9
4485;5620;471;0;10576;2012;con;9
4536;5447;394;0;10377;2013;con;9
4478;5737;334;0;10549;2014;con;9
4723;6020;349;0;11092;2015;con;9
4797;5715;315;0;10827;2016;con;9
4459;5340;262;0;10061;2017;con;9
4028;4853;202;0;9083;2018;con;9
188;312;43;5;548;2008;esp;9
186;270;49;7;512;2009;esp;9
200;272;40;6;518;2010;esp;9
232;293;42;0;567;2011;esp;9
226;302;43;0;571;2012;esp;9
234;258;28;0;520;2013;esp;9
251;277;26;0;554;2014;esp;9
267;275;14;0;556;2015;esp;9
218;218;31;0;467;2016;esp;9
222;194;15;0;431;2017;esp;9
149;192;5;0;346;2018;esp;9
763;1555;64;5;2387;2008;nas;9
806;1584;63;8;2461;2009;nas;9
633;1414;39;1;2087;2010;nas;9
534;1085;51;0;1670;2011;nas;9
497;1002;43;1;1543;2012;nas;9
377;686;14;0;1077;2013;nas;9
297;520;19;1;837;2014;nas;9
172;304;12;0;488;2015;nas;9
152;204;8;0;364;2016;nas;9
147;187;4;0;338;2017;nas;9
337;458;11;0;806;2018;nas;9
24;48;2;0;74;2008;sub;10
31;45;2;0;78;2009;sub;10
29;54;1;0;84;2010;sub;10
18;43;1;0;62;2011;sub;10
27;63;2;0;92;2012;sub;10
24;69;0;0;93;2013;sub;10
29;60;3;0;92;2014;sub;10
32;66;0;0;98;2015;sub;10
23;43;1;0;67;2016;sub;10
18;49;2;0;69;2017;sub;10
14;37;0;0;51;2018;sub;10
76;110;6;1;193;2008;con;10
86;122;11;1;220;2009;con;10
109;134;15;1;259;2010;con;10
93;104;10;0;207;2011;con;10
108;144;5;0;257;2012;con;10
124;120;6;0;250;2013;con;10
127;140;6;0;273;2014;con;10
107;105;2;0;214;2015;con;10
93;79;5;0;177;2016;con;10
123;112;5;0;240;2017;con;10
80;102;6;0;188;2018;con;10
5;3;0;0;8;2008;esp;10
3;2;0;0;5;2009;esp;10
8;8;1;0;17;2010;esp;10
3;7;0;0;10;2011;esp;10
5;6;3;0;14;2012;esp;10
5;4;2;0;11;2013;esp;10
6;21;1;0;28;2014;esp;10
3;8;0;0;11;2015;esp;10
3;2;0;0;5;2016;esp;10
6;8;0;0;14;2017;esp;10
4;3;1;0;8;2018;esp;10
10;36;1;0;47;2008;nas;10
8;22;1;0;31;2009;nas;10
8;14;2;0;24;2010;nas;10
9;17;0;0;26;2011;nas;10
7;17;0;0;24;2012;nas;10
3;22;0;0;25;2013;nas;10
4;17;0;0;21;2014;nas;10
9;11;1;0;21;2015;nas;10
4;8;0;0;12;2016;nas;10
1;13;1;0;15;2017;nas;10
12;14;0;0;26;2018;nas;10
62;156;3;0;221;2008;sub;11
64;149;4;0;217;2009;sub;11
70;165;4;0;239;2010;sub;11
88;177;4;0;269;2011;sub;11
98;213;2;0;313;2012;sub;11
87;188;9;0;284;2013;sub;11
95;222;5;0;322;2014;sub;11
80;218;2;0;300;2015;sub;11
67;182;6;0;255;2016;sub;11
